[LogInfo] Page generation time: 0.13787007331848 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21559119224548 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21910810470581 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.00010395050048828 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21304202079773 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13684797286987 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 8.9883804321289E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 4.6968460083008E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 4.8160552978516E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 4.6968460083008E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 5.4121017456055E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 4.5061111450195E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14716601371765 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14637398719788 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 5.5074691772461E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13688516616821 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13633608818054 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 4.887580871582E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.00010395050048828 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 7.7009201049805E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 4.2915344238281E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14448881149292 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 3.8007688522339 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21660590171814 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2282338142395 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13708090782166 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.15392398834229 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13303279876709 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2135009765625 seconds | Page:localhost/astracore/index.php | INFO
